Local_Text,Bangla Translation
কোটে আচু,কোথাই আছিস
গেছুলু,কোথাও যাওয়া বুঝাই
খাচু,খাওয়া বুঝাই
ঘুমাচু,ঘুমানো বুঝাই
এক্ষেরে ইঙ্কা হল ক্যা,কোন জিনিস বদলে যাওয়া বুঝাই
পিঁরা ডা দে ত,বসার জিনিস
হাংবা ,বাবা
হাংমা,মা
হাংখালা,খালা
হাংনানি,নানি
হাংমামা,মামা
তুই র কতো জালাবু,কষ্ট দেওয়া
টিটি,মুরগী
বতবত,হাঁস
বরকি,ছাগল
অ্যান্ডা,ডিম
ডুপ দেওয়া,শাওয়ার নেওয়া
কোঁথ থেকে আলু,কোথায় থেকে এসেছে
কুটি যাবু বা,কোথায় যাবে সেটা বুঝায়
ক্যা বা তুর জি আসার কতা আচলও,কথা দেওয়া বুঝায়
আম্বাগুন,টমেটো
তরয়,ঝিঙা
পোল্লা,পটল
আনাচ,শিম
গুঞ্জি,টি- শার্ট
ছুট,প্যান্ট
নুন,লবণ
ওঁই অঙ্কা কড়ে ক্যা ওটে,অন্য রকম আচরণ
এত থেকে এতও খানি বাদ,কোন কিছু পরিমাপ
ইঙ্কা হলো ক্যা,অন্য রকম হওয়া
দেকপা চালু জি দেখপু না,কোন কিছু দেখতে চাওয়া
চুদির ভাই লিসা খাই,নেশায় আসক্ত ছেলে
হই হই বুজিচি লে,কোন কিছু না বুঝেও বুঝতে পারার অনুমান করা
অর অঙ্কাই হবে ত,মানুষের খারাপ চাওয়া
সাওয়ার বেটা,খারাপ ভাষা
লটির বাচ্চা,খারাপ ভাষা
কুত্তার বাচ্চা,খারাপ ভাষা
কুত্তা,কুকুর
ইন্দুর,ইঁদুর
বিলাই,বিড়াল
মোষ,মহিষ
বাইত আসপু বলে,বাড়ি যাওয়া
এই বেটি ছল ত কুব খারাপ,কোন মেয়ে কে খারাপ বুঝায়
মাগি কই নাং লাগে তর,এক মেয়ের দুই স্বামী
খান্নাচ মাগি,খারাপ মেয়ে
মাগি বলে ভাতারের ভাত খাবে না,স্বামীর সাথে ঝগড়া করা
এতই ডসক ধরা পারে বা,অতিরিক্ত সাজগুজ করলে এমন বলে
ভাতার,জামাই
কুশার,ইক্ষু
শবরী,পেয়ারা
ছুরী দা বেশি ভাল লই কলে,খারাপ মেয়ে বুঝায়
থাল বাসন,প্লেট
গিলাস,গ্লাস
অত্তখানি খারাপ হচে,বেশি খারাপ হওয়া
ইটা,ইট
কব রাজি,হোমিও চিকিৎসা
এই মিন্দে আই,দিক ঠিক করে দেওয়া
অসত বরি ঠিক মত খাওচু ত,নিয়মিত ঔষধ খাওয়া বুঝায়
অর আমাসই হচে,ডাইরিয়া হওয়া বুঝায়
হুন্ডা,মোটর সাইকেল [বাইক]
কুটি যাবু বা,কোথায় যাবে
 হাঙ্গে বাইত বলে আসপু,আমাদের বাড়িতে আসবি বলে
খান কির ছল,গালি
সাওয়ার বেটি,গালি
বেসসার বেটা,গালি
মাগির বেটা,গালি
সাওয়ার নাটক আর কত দিন,অভিনয়
তালবাহানা,অভিনয়
ওঁ টি দে ত আরা,রুটি চাওয়া
নমাজ পরিচু,নামাজ পড়া
শাটির মাচ মারিচু বলে,মাছ
খ্যাতা,কাঁথা
বালুস,বালিশ
বালুসের অওার,বালিশের কাভার
হার্ড বোর্ড,পরীক্ষার যন্ত্র
বোড়কি লাদিচে ,পশু বর্জ্য
তানা য় কেস করিছে বোলে,থানায় মামলা করা
আলু ঘাটি তো শেই শদ হচে,ঐতিহ্যবাহী খাবার
ছালন লিয়ে ভাত খা,তরকারির কথা বলছে
খাঁরা,খাল-বিল
চুদির ভাই,খারাপ ভাষা
অসুন,রসুন
পেজ,পিয়াজ
পত্তা,কাঁচা মরিচ
শেখ আলু,মিষ্টি আলু
হলিন আলু,গোল আলু
ভুটভুটি,চলাচলের জন্য যানবাহন
কল লা,করলা [তরকারি]
খের,গরুর খাবার
খল,গরুর খাবার
জান লা,জানালা
কবাট,দরজা
পেজবরা,পিয়াজু
খুরমাই,মিষ্টি জাতীয় এক ধরণের খাবার
বুট কালাই,ছোলা
মাস কালাই,মসুর ডাল
লেপ টো,ল্যাপটপ
শালা ত ছ্যাচরা,যেকোনো বিষয়ে নাছোড় বান্দা
ইন কায় করবু,অন্য রকম আচরণ
সুইটার,শীতের পোশাক
বোত্তল,বোতল
দুদ পোল্লা,ঝিঙ্গা
শোয়াস,শসা
খিরা,শসা
সসা,সরিষা
লদি,নদী
বাগুন,বেগুন
হলদি,হলুদ
কোটা ঝাল,গুঁড়া মরিচ
পকি,পাখি
কতর,কবুতর
গোল্লা,মিষ্টি
ছাতি,ছাতা
মিসছিয়ানা দে ত,সামান্য কিছু নেওয়া
আদ্দেক দে ত,অর্ধেক নেওয়া
কাদা,কৃষি যন্ত্র
লাঙল,কৃষি যন্ত্র
জোয়াল,কৃষি যন্ত্র
ধুরা,কৃষি যন্ত্র
ভিটা,সবজি ক্ষেত
মাতল,ছাতা জাতীয় কৃষি উপাদান
খড়ি,চুলা জ্বালানো উপাদান
মাফলার,শীতের পোশাক
খাজর,খেজুর
খাজরের অস,খেজুরের রস
পন্তা,পান্তা ভাত
সর দিনি এঁটে থেকে,দূরে যাওয়া
টেবুল,টেবিল
চিয়ার,চেয়ার
বেবাকেই জাবে,সবাই যাবে
কটটি লিবু,কতটুকু
তানতে লে,রাখতে বলা
হক লে,কোন কথা মেনে নেওয়া
দুরা টেকা দে ম্যা,মায়ের কাছে দুই টাকার নোট চাইতেছে
কসান আসপু,কোন দিন আসবে
আইচি,আসতেছি
হিত্তাই,দূরে আসা
বাচ,বাস
টাক,ট্রাক
আসসাহি,রাজশাহী
বগরা,বগুড়া
ফেকচি,মোবাইল রিচার্জ
মুই কউচু,নিজে বলা
বেটি ছল,মেয়ে
আচোদা,খারাপ
সাওয়ার ব্যাটা,গালি
লটির বাচ্চা,গালি
ঘুপ্সির ছল,গালি
হালকা,দাওয়াত খাওয়া
মল্লিস,দাওয়াত খাওয়া
মচে,মরে যাওয়া
বুবু,দাদি
সাঙ্কি,ভাত খাওয়ার প্লেট
অটি জাবু,কোথাও যাওয়া বুঝায়
পকর,পুকুর
সাক,সাঁকো
ব্যাংক,ব্যাংক
কয়ড়া বাজে,সময়
জিয়াপত,দাওয়াত খাওয়া
কুটমবু সোতদর,আত্মীয়
দাদু,দাদা
পত্তা,মরিচ
ছাটি পিকেট,সার্টিফিকেট
কর গোয়াত ব,পড়াশুনা
গোয়া,পাছা
পুটকি,পাছা
টেকা কামাই করার জি কি চোদন,টাকা-পয়সা ইনকাম বা [উপার্জন]
তর কামাই খাই না কি হে,অপরিচিত কার উপার্জন খাওয়া
মেসি,ট্র্যাক্টর
টিলার,চাষাবাদ যন্ত্র
টলি,মালামাল পরিবহন যন্ত্র
পান-সুবারি,সুপারি
কদু,মিষ্টি কুমড়া
লকুজ,লাউ
বিচন,ধানের চারা
সিল্ভর,মাছ
কানচ,শিং মাছ
পবা,পাবদা মাছ
এল গারি,রেলগাড়ি
বরাস,ব্রাশ
হাগবা গেচে,পায়খানা
মুতপা গেচে,প্রসাব
পেন্টের জিপ,পকেট
পাওডাল,পাওডার
চামার,স্বার্থপর
মিচ্ছি আনা দে দিনি,সামান্য কিছু নেওয়া
ইঙ্কা করে কর,কাজ বুঝে দেওয়া
পরার উপর আর কত দিন খাবু,ধান্দাবাজি করা
ফন না,খারাপ ভাষা
পাথার,খোলা মাঠ
সাট পিনবু না,শার্ট পরতে বলা
হাতা খেলা,ব্যাডমিন্টন খেলা
বারা খেলা,ক্রিকেট খেলা
কারিং,ইলেক্ট্রিসিটি
কোনটি যামু ক,কোথায় যাবে
বেবাক গুলা খাচু,সবগুলো খেয়োচ
এই মিন্দে আই,পথ দেখানো
ভোছার ছল,ছোট বাচ্চার সাথে রাগ করা
বরফ,আইসক্রিম
ছুরী ,মেয়ে লোক
ছোরা,ছেলে লোক
রিমু,ইমু কল
ইন্টারনেট,ফেসবুক
অনলাইন,ফেসবুক
কুতপা ঠাসা পচে,মোবাইল ভুল বাটনে চাপ পরা
অসদিনি হবেহিনি,কোন কাজে দেরি করতে বলা
মোক আনা দে,কার কাছে কোন জিনিস চাওয়া
অট্টি গুলা লিছু কা,কোনকিছু বেশি নেওয়া
হলিন আলু,সাদা আলু
ইঙ্কারারা করলু কা,কোনকিছু পরিবর্তন করা
মোর মবাইলত চারজ নাই বা,মোবাইলে চার্জ না থাকা
আন কত হচে,রান জিজ্ঞেস করা
চকা,মাটির চুলা
এক হাসাল,মাটির চুলা
দুই হাসাল,মাটির চুলা
তিন হাসাল,মাটির চুলা
পাললা,রান্নার পাতিল
গরুর গল,গরু রাখার জায়গা
মুরগি ঘরা,মুরগি রাখার জায়গা
মুগুর,হাতুড়ি
গেস,লাইটার
কাতি মাস,কার্তিক মাস
পলা ছল,প্রথম ছেলে
পলা,প্রথম  
সাইত করা,কোনকিছু প্রথম বিক্রি করা
লতুন মানুস,নতুন জামাই/বউ
ইস্কা,রিক্সা
লাল মাচি,মৌমাছি
গিরস্থ,কৃষক
লবাব,কৃষকের ছেলে
অষ্টাওর,বদমাইশ
টেকা  ,টাকা 
লেম্বর,মেম্বার
চিয়ারমিন,চেয়ারম্যান
চকিদার,গ্রাম্য পুলিশ
লউকা,নৌকা
হোলা,শাপলা ফুল
ভিউ,চাষের জমি
লাতি,নাতি
নিওর,শিশির
মুই আনা লিবা চানু,কোন জিনিস নিতে চাওয়া
কসান আস্পে কওয়া পারোনা ,কোনদিন আসবে সেটা যানে না
ছোরানি ,চাবি
চাবি,তালা
অবাট,রাবার
ঢাকন,পাতিলের ঢাকনা
খিচরি,খিচুরি
নিন আচু,ঘুমানো  
বরভানি,সকাল বেলা
সাজ লাগিচে,সন্ধ্যা বেলা
নিব্বে গেচে চকা,আগুন নিভে যাওয়া
লুসা লাগিচে ত,ফলমূল অথবা সবজি শুঁখে যাওয়া
উটপুনা,ঘুম থেকে উঠা
বেপাকগুলা,সবগুলো
কা বারে কাঙ্কা আচিন,কেমন আছে সেটা জানতে চাচ্ছে
বাঁশের থোপ,বাঁশ বাগান
কারল,বাঁশের তৈরি 
লকসি,বাঁশের তৈরি 
ছিপনি,বাঁশের ডালের মতো অংশ
আড়ানি,কাপড় শুকানোর কাজে ব্যবহার করা হয়
মাচং,বসার যায়গা
বেচপুনা এলা,কোন জিনিস বিক্রি করতে বলা
লিততি লিততি ,দৈনন্দিন
বেবাকগুলা,সবগুলো
উশ টুঅংগা ,আরশোলা
বেবাকেই  ,সবাই  
তোর সল্লত কি ভই নাই,কাউকে ভয় দেখানো
অসদ,ঔষধ
খচ্ছর লোক,খারাপ মানুষ
ডাকতর,ডাক্তার
অপিস,অফিস
লস্টও,নষ্ট 
আপির,পুনরাবৃত্তি
 বেপসিক,ব্যবসায়ী
ইমনি,ফ্রী
এটথিনি,এখান থেকে
জুম্মা,মসজিদ
